id,Leave_Next_Month,Gender,Pensioner,Married,Children,Months_with_company,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Type_contract,Paperless_Billing,Payment_Method,Monthly_Payment,Total_Payment
4,1,F,0,N,N,2,Y,N,Fiber optic,N,N,N,N,N,N,Per_month,Y,Check_electron,70.7,151.65
7,0,F,0,N,N,10,N,No_phone,DSL,Y,N,N,N,N,N,Per_month,N,Check_mailed,29.75,301.9
8,1,F,0,Y,N,28,Y,Y,Fiber optic,N,N,Y,Y,Y,Y,Per_month,Y,Check_electron,104.8,3046.05
9,0,M,0,N,Y,62,Y,N,DSL,Y,Y,N,N,N,N,Year-1,N,Bank_transfer_auto,56.15,3487.95
11,0,M,0,N,N,16,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-2,N,Credit_card_auto,18.95,326.8
14,0,M,0,N,N,25,Y,N,Fiber optic,Y,N,Y,Y,Y,Y,Per_month,Y,Check_electron,105.5,2686.05
16,0,F,0,N,N,52,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Check_mailed,20.65,1022.95
19,0,F,0,N,N,21,Y,N,Fiber optic,N,Y,Y,N,N,Y,Per_month,Y,Check_electron,90.05,1862.9
21,0,M,0,Y,N,12,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Year-1,N,Bank_transfer_auto,19.8,202.25
23,0,F,0,Y,N,58,Y,Y,DSL,N,Y,N,Y,N,N,Year-2,Y,Credit_card_auto,59.9,3505.1
24,0,M,0,Y,Y,49,Y,N,DSL,Y,Y,N,Y,N,N,Per_month,N,Credit_card_auto,59.6,2970.3
30,0,F,1,Y,N,71,Y,Y,Fiber optic,Y,Y,Y,Y,N,N,Year-2,Y,Credit_card_auto,96.35,6766.95
31,0,M,1,Y,N,2,Y,N,Fiber optic,N,N,Y,N,Y,Y,Per_month,Y,Credit_card_auto,95.5,181.65
33,0,M,0,N,N,1,Y,N,N,No_internet,No_internet,No_internet,No_internet,No_internet,No_internet,Per_month,N,Bank_transfer_auto,20.2,20.2
34,0,M,1,N,N,1,Y,N,DSL,N,N,N,N,N,N,Per_month,N,Bank_transfer_auto,45.25,45.25
